A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,initialized,0,,1464328416437
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,0,"[1270, 663]",1464328416437
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,139184,"[1280, 720]",1464328555621
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,830,"[1270, 663]",1464328556451
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,491,"[1280, 720]",1464328556942
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,547,"[1270, 663]",1464328557489
A133QG754CGS3I:33SA9F9TRXU2TY9QCKAR11DRXYZWEH,window_resize,401,"[1280, 720]",1464328557890
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,initialized,0,,1464328307761
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,window_resize,0,"[1914, 1018]",1464328307761
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,focus,220324,off,1464328528085
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,focus,16744,on,1464328544829
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,focus,38681,off,1464328583510
A17P46B0XT363X:3PMBY0YE273CK4C4NIU4XT5DEL2C9F,focus,13514,on,1464328597024
A18C452IX8HCB8:3TK8OJTYM1LTB0YBVOL69BTH4W0PVM,initialized,0,,1464328395780
A18C452IX8HCB8:3TK8OJTYM1LTB0YBVOL69BTH4W0PVM,window_resize,0,"[1362, 714]",1464328395780
A19U56Z7XQ7I1I:3UXUOQ9OKEXKD6RDO70TD2OJI7V7AR,initialized,0,,1462918359443
A19U56Z7XQ7I1I:3UXUOQ9OKEXKD6RDO70TD2OJI7V7AR,window_resize,0,"[1366, 682]",1462918359443
A19U56Z7XQ7I1I:3UXUOQ9OKEXKD6RDO70TD2OJI7V7AR,focus,10106,off,1462918369549
A19U56Z7XQ7I1I:3UXUOQ9OKEXKD6RDO70TD2OJI7V7AR,focus,4497,on,1462918374046
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,initialized,0,,1464245672551
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,window_resize,0,"[1920, 1026]",1464245672551
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,focus,43358,off,1464245715909
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,focus,16056,on,1464245731965
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,focus,32200,off,1464245764165
A1A3TGZ7DKJWRW:3TXWC2NHNZQSRL10K4K4CY9V0MDS9A,focus,11409,on,1464245775574
A1APYLD4DUK33J:38YMOXR4MUZYGJGB62RTPDLEG0C6W7,initialized,0,,1464328169715
A1APYLD4DUK33J:38YMOXR4MUZYGJGB62RTPDLEG0C6W7,window_resize,1,"[1920, 1005]",1464328169716
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,initialized,0,,1462921804096
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,window_resize,0,"[1362, 714]",1462921804096
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,focus,50621,off,1462921854717
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,focus,26786,on,1462921881503
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,window_resize,54923,"[1362, 425]",1462921936426
A1EAEZ7VIHKQ2:3Z4XG4ZF48R09X4P9MKDBAVCUC98XI,window_resize,2398,"[1362, 714]",1462921938824
A1HKYY6XI2OHO1:3S4AW7T80BI4Q20YJ0RCJ4KKM224LR,initialized,0,,1464328611247
A1HKYY6XI2OHO1:3S4AW7T80BI4Q20YJ0RCJ4KKM224LR,window_resize,0,"[1920, 1048]",1464328611247
A1J6X3R3XE227Y:3U8YCDAGXPGYIBYAS4C6ONT1FUYQ07,initialized,0,,1464245153722
